variation,normal
EASTING,Easting
NORTHING,Northing
LONG,
LAT,
GPSALT,GPSALT
DATE,
FLIGHT,Flight
AIRCRAFT,
LINE,Line
LINETYPE,
LINENAME,
FIDCOUNT,FIDCOUNT
UTCTIME,UTCTIME
LOCALTIME,
SURFACE,Surface
RALT,
DEMIFSAR,DEMIFSAR
DTM,
BALT,
DIURNRAW,
DIURNAL,Diurnal
DIUR2RAW,
DIURNAL2,
FLUXLONG,
FLUXTRAN,
FLUXVERT,
MAGUNCOM,MAGUNCOM
MAGCOM,MAGCOM
MAGRAW,
DIURNCOR,
MAGDIURN,
ALTCOR,
MAGALT,
MAGTLCOR,
MAGTL,
MICCOR,
SRVMGLEV,
IGRF,
SRVMGRES,
C1VDMAG,
C2VDMAG,
